"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18571","TC-07: submenu link should redirect to correct page","Header Navigation","2026-09-02","passed","2026-09-02","","","",""
"","14918","TC-06: navigation dropdown should appear on click","Header Navigation","2026-09-02","passed","2026-09-02","","","",""
"","10575","TC-09: Developers dropdown should contain documentation link","Header Navigation","2026-09-02","passed","2026-09-02","","","",""
"","12598","TC-03: should display security certification badges","Home Page","2026-09-02","passed","2026-09-02","","","",""
"","37298","TC-02: should display use case buttons and be clickable","Home Page","2026-09-02","passed","2026-09-02","","","",""
"","14732","TC-05: main navigation should display all top-level menu items","Header Navigation","2026-09-02","passed","2026-09-02","","","",""
"","15659","TC-17: submit button should be clickable","Contact Us & Cookies","2026-09-02","passed","2026-09-02","","","",""
"","17346","TC-01: should load home page successfully","Home Page","2026-09-02","passed","2026-09-02","","","",""
"","13773","TC-15: Shop link should open external site in new tab","Footer","2026-09-02","passed","2026-09-02","","","",""
"","19208","TC-11: COMPANY section links should return HTTP 200","Footer","2026-09-02","passed","2026-09-02","","","",""
"","10827","TC-16: footer copyright text should show current year","Footer","2026-09-02","passed","2026-09-02","","","",""
"","31975","TC-04: logo click should redirect to home page","Header Navigation","2026-09-02","passed","2026-09-02","","","",""
"","11301","TC-14: social icons should link to correct external profiles","Footer","2026-09-02","passed","2026-09-02","","","",""
"","12451","TC-13: COMPARE section links should return HTTP 200","Footer","2026-09-02","passed","2026-09-02","","","",""
"","9755","TC-18: ""How we can help you"" dropdown should have two options","Contact Us & Cookies","2026-09-02","passed","2026-09-02","","","",""
"","19709","TC-20: cookie settings should be editable on Contact Us page","Contact Us & Cookies","2026-09-02","broken","2026-09-02","","","",""
"","18936","TC-12: LEGAL section links should return HTTP 200 or 403","Footer","2026-09-02","passed","2026-09-02","","","",""
"","10991","TC-08: ""Why Telnyx"" dropdown should appear on click","Header Navigation","2026-09-02","passed","2026-09-02","","","",""
"","10351","TC-19: contact form fields should accept input","Contact Us & Cookies","2026-09-02","passed","2026-09-02","","","",""
"","33609","TC-10: messaging API pricing table should display valid price values","Pricing Page","2026-09-02","passed","2026-09-02","","","",""
